cluster_id|perguntas_respostas
180|P0
161|P1
251|P2
104|P3
284|P4
87|P5
255|P6
91|P7
57|P8
161|P9
161|P10
161|P11
15|P12
271|P13
193|P14
282|P15
214|P16
256|P17
160|P18
226|P19
69|P20
61|P21
161|P22
186|P23
18|P24
164|P25
177|P26
161|P27
290|P28
161|P29
161|P30
161|P31
161|P32
164|P33
161|P34
55|P35
232|P36
160|P37
161|P38
21|P39
250|P40
135|P41
205|P42
210|P43
187|P44
59|P45
209|P46
218|P47
172|P48
35|P49
210|P50
164|P51
161|P52
228|P53
296|P54
235|P55
201|P56
161|P57
164|P58
213|P59
161|P60
301|P61
223|P62
281|P63
152|P64
53|P65
286|P66
49|P67
182|P68
220|P69
284|P70
270|P71
210|P72
278|P73
284|P74
243|P75
252|P76
281|P77
189|P78
217|P79
161|P80
161|P81
220|P82
192|P83
11|P84
190|P85
282|P86
62|P87
151|P88
53|P89
161|P90
291|P91
246|P92
161|P93
281|P94
119|P95
97|P96
233|P97
298|P98
50|P99
188|P100
262|P101
15|P102
272|P103
226|P104
53|P105
290|P106
217|P107
290|P108
96|P109
59|P110
254|P111
161|P112
280|P113
56|P114
66|P115
290|P116
87|P117
197|P118
54|P119
65|P120
161|P121
114|P122
145|P123
177|P124
73|P125
161|P126
25|P127
195|P128
224|P129
161|P130
157|P131
11|P132
220|P133
214|P134
152|P135
161|P136
97|P137
28|P138
93|P139
256|P140
265|P141
149|P142
270|P143
161|P144
161|P145
97|P146
161|P147
287|P148
161|P149
62|P150
192|P151
189|P152
37|P153
297|P154
237|P155
69|P156
161|P157
62|P158
204|P159
284|P160
129|P161
220|P162
286|P163
238|P164
220|P165
199|P166
216|P167
261|P168
154|P169
282|P170
161|P171
161|P172
289|P173
171|P174
161|P175
272|P176
65|P177
262|P178
252|P179
159|P180
174|P181
62|P182
161|P183
161|P184
84|P185
257|P186
137|P187
152|P188
161|P189
107|P190
284|P191
161|P192
179|P193
13|P194
262|P195
228|P196
61|P197
161|P198
282|P199
80|P200
161|P201
189|P202
287|P203
164|P204
224|P205
130|P206
170|P207
161|P208
277|P209
35|P210
161|P211
36|P212
41|P213
161|P214
290|P215
199|P216
85|P217
171|P218
2|P219
220|P220
161|P221
274|P222
216|P223
299|P224
46|P225
293|P226
161|P227
164|P228
124|P229
161|P230
162|P231
161|P232
164|P233
209|P234
281|P235
62|P236
212|P237
194|P238
290|P239
82|P240
267|P241
288|P242
161|P243
199|P244
282|P245
296|P246
17|P247
287|P248
262|P249
246|P250
62|P251
189|P252
103|P253
251|P254
161|P255
263|P256
20|P257
161|P258
223|P259
87|P260
161|P261
284|P262
282|P263
174|P264
57|P265
290|P266
284|P267
161|P268
1|P269
96|P270
226|P271
220|P272
194|P273
226|P274
161|P275
187|P276
232|P277
290|P278
288|P279
185|P280
291|P281
145|P282
169|P283
204|P284
232|P285
141|P286
36|P287
161|P288
24|P289
277|P290
161|P291
281|P292
256|P293
230|P294
276|P295
282|P296
288|P297
104|P298
289|P299
151|P300
154|P301
95|P302
283|P303
257|P304
172|P305
257|P306
76|P307
57|P308
216|P309
85|P310
186|P311
48|P312
255|P313
56|P314
289|P315
25|P316
181|P317
164|P318
232|P319
161|P320
284|P321
287|P322
37|P323
252|P324
289|P325
297|P326
143|P327
295|P328
277|P329
220|P330
161|P331
161|P332
221|P333
161|P334
161|P335
48|P336
257|P337
62|P338
41|P339
58|P340
257|P341
281|P342
194|P343
226|P344
290|P345
87|P346
179|P347
57|P348
290|P349
215|P350
161|P351
248|P352
298|P353
59|P354
199|P355
281|P356
133|P357
205|P358
295|P359
299|P360
288|P361
232|P362
254|P363
154|P364
297|P365
118|P366
282|P367
21|P368
224|P369
171|P370
66|P371
123|P372
49|P373
161|P374
33|P375
50|P376
126|P377
281|P378
205|P379
284|P380
223|P381
257|P382
22|P383
255|P384
223|P385
217|P386
257|P387
